supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 781,Medication 113,high,Unknown,C,Auto-generated interaction
Supplement 757,Medication 57,high,Absorption reduction,C,Auto-generated interaction
Supplement 4,Medication 48,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 434,Medication 106,high,Unknown,C,Auto-generated interaction
Supplement 242,Medication 144,moderate,Additive effect,C,Auto-generated interaction
Supplement 217,Medication 13,moderate,Additive effect,B,Auto-generated interaction
Supplement 71,Medication 50,low,Additive effect,A,Auto-generated interaction
Supplement 214,Medication 53,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 99,Medication 94,low,Unknown,B,Auto-generated interaction
Supplement 592,Medication 2,severe,Absorption reduction,B,Auto-generated interaction
Supplement 77,Medication 59,severe,Absorption reduction,A,Auto-generated interaction
Supplement 586,Medication 32,low,Absorption reduction,A,Auto-generated interaction
Supplement 804,Medication 76,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 706,Medication 72,moderate,Unknown,C,Auto-generated interaction
Supplement 786,Medication 120,low,Unknown,A,Auto-generated interaction
Supplement 794,Medication 30,severe,Unknown,A,Auto-generated interaction
Supplement 588,Medication 118,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 995,Medication 30,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 655,Medication 6,low,Additive effect,A,Auto-generated interaction
Supplement 959,Medication 32,high,Additive effect,A,Auto-generated interaction
Supplement 873,Medication 36,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 708,Medication 117,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 381,Medication 18,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 602,Medication 123,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 538,Medication 125,severe,Unknown,A,Auto-generated interaction
Supplement 277,Medication 105,severe,Additive effect,C,Auto-generated interaction
Supplement 85,Medication 99,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 957,Medication 106,high,Absorption reduction,C,Auto-generated interaction
Supplement 885,Medication 37,severe,Unknown,B,Auto-generated interaction
Supplement 317,Medication 85,severe,Additive effect,A,Auto-generated interaction
Supplement 514,Medication 9,low,Additive effect,A,Auto-generated interaction
Supplement 426,Medication 12,moderate,Additive effect,C,Auto-generated interaction
Supplement 377,Medication 42,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 630,Medication 143,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 87,Medication 120,low,Unknown,B,Auto-generated interaction
Supplement 776,Medication 123,moderate,Unknown,C,Auto-generated interaction
Supplement 692,Medication 140,high,Absorption reduction,A,Auto-generated interaction
Supplement 273,Medication 49,severe,Absorption reduction,B,Auto-generated interaction
Supplement 209,Medication 23,moderate,Unknown,B,Auto-generated interaction
Supplement 416,Medication 32,low,Unknown,C,Auto-generated interaction
Supplement 624,Medication 77,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 209,Medication 80,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 644,Medication 94,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 550,Medication 21,low,Additive effect,C,Auto-generated interaction
Supplement 635,Medication 131,moderate,Unknown,A,Auto-generated interaction
Supplement 211,Medication 97,moderate,Unknown,C,Auto-generated interaction
Supplement 289,Medication 133,high,Absorption reduction,A,Auto-generated interaction
Supplement 283,Medication 94,high,Additive effect,B,Auto-generated interaction
Supplement 63,Medication 88,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 31,Medication 56,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 509,Medication 48,moderate,Unknown,A,Auto-generated interaction
Supplement 695,Medication 31,moderate,Additive effect,A,Auto-generated interaction
Supplement 709,Medication 126,high,Absorption reduction,A,Auto-generated interaction
Supplement 892,Medication 25,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 539,Medication 40,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 426,Medication 13,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 185,Medication 87,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 679,Medication 20,severe,Absorption reduction,A,Auto-generated interaction
Supplement 276,Medication 112,severe,Absorption reduction,B,Auto-generated interaction
Supplement 846,Medication 84,severe,Additive effect,A,Auto-generated interaction
Supplement 704,Medication 78,low,Absorption reduction,B,Auto-generated interaction
Supplement 479,Medication 106,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 846,Medication 144,moderate,Unknown,B,Auto-generated interaction
Supplement 411,Medication 2,low,Absorption reduction,B,Auto-generated interaction
Supplement 630,Medication 89,moderate,Additive effect,C,Auto-generated interaction
Supplement 676,Medication 145,severe,Absorption reduction,A,Auto-generated interaction
Supplement 453,Medication 144,low,Additive effect,C,Auto-generated interaction
Supplement 626,Medication 107,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 324,Medication 103,low,Absorption reduction,B,Auto-generated interaction
Supplement 157,Medication 113,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 952,Medication 135,severe,Absorption reduction,C,Auto-generated interaction
Supplement 386,Medication 144,high,Absorption reduction,C,Auto-generated interaction
Supplement 681,Medication 147,severe,Unknown,B,Auto-generated interaction
Supplement 678,Medication 123,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 82,Medication 39,low,Unknown,C,Auto-generated interaction
Supplement 756,Medication 39,severe,Unknown,A,Auto-generated interaction
Supplement 430,Medication 65,high,Unknown,B,Auto-generated interaction
Supplement 589,Medication 25,high,Absorption reduction,A,Auto-generated interaction
Supplement 995,Medication 110,high,Absorption reduction,A,Auto-generated interaction
Supplement 487,Medication 87,severe,Additive effect,A,Auto-generated interaction
Supplement 474,Medication 139,severe,Additive effect,C,Auto-generated interaction
Supplement 522,Medication 11,low,Absorption reduction,A,Auto-generated interaction
Supplement 597,Medication 144,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 362,Medication 72,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 818,Medication 114,severe,Absorption reduction,A,Auto-generated interaction
Supplement 353,Medication 9,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 524,Medication 98,low,Unknown,A,Auto-generated interaction
Supplement 454,Medication 105,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 412,Medication 45,low,Additive effect,B,Auto-generated interaction
Supplement 795,Medication 133,moderate,Additive effect,C,Auto-generated interaction
Supplement 730,Medication 74,low,Absorption reduction,A,Auto-generated interaction
Supplement 24,Medication 24,high,Unknown,A,Auto-generated interaction
Supplement 16,Medication 72,severe,Additive effect,B,Auto-generated interaction
Supplement 339,Medication 26,moderate,Unknown,B,Auto-generated interaction
Supplement 884,Medication 77,high,Unknown,B,Auto-generated interaction
Supplement 977,Medication 97,low,Absorption reduction,A,Auto-generated interaction
Supplement 779,Medication 104,high,Unknown,B,Auto-generated interaction
Supplement 570,Medication 120,severe,Additive effect,B,Auto-generated interaction
Supplement 58,Medication 53,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 453,Medication 34,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 261,Medication 103,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 824,Medication 45,low,Unknown,C,Auto-generated interaction
Supplement 568,Medication 29,severe,Absorption reduction,B,Auto-generated interaction
Supplement 857,Medication 132,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 346,Medication 98,high,Additive effect,A,Auto-generated interaction
Supplement 767,Medication 96,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 814,Medication 50,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 300,Medication 14,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 247,Medication 92,severe,Additive effect,A,Auto-generated interaction
Supplement 60,Medication 117,high,Absorption reduction,A,Auto-generated interaction
Supplement 355,Medication 20,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 186,Medication 116,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 59,Medication 60,high,Additive effect,A,Auto-generated interaction
Supplement 413,Medication 21,low,Additive effect,C,Auto-generated interaction
Supplement 230,Medication 31,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 966,Medication 109,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 533,Medication 99,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 193,Medication 66,moderate,Unknown,A,Auto-generated interaction
Supplement 946,Medication 144,severe,Additive effect,B,Auto-generated interaction
Supplement 656,Medication 87,low,Absorption reduction,A,Auto-generated interaction
Supplement 347,Medication 119,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 415,Medication 150,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 596,Medication 37,severe,Unknown,C,Auto-generated interaction
Supplement 110,Medication 95,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 806,Medication 109,severe,Additive effect,A,Auto-generated interaction
Supplement 996,Medication 62,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 17,Medication 148,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 847,Medication 80,low,Additive effect,A,Auto-generated interaction
Supplement 512,Medication 90,high,Unknown,B,Auto-generated interaction
Supplement 633,Medication 72,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 597,Medication 48,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 246,Medication 42,severe,Additive effect,A,Auto-generated interaction
Supplement 188,Medication 40,high,Unknown,B,Auto-generated interaction
Supplement 486,Medication 40,moderate,Unknown,B,Auto-generated interaction
Supplement 367,Medication 114,severe,Additive effect,A,Auto-generated interaction
Supplement 136,Medication 98,moderate,Unknown,B,Auto-generated interaction
Supplement 883,Medication 90,high,Absorption reduction,B,Auto-generated interaction
Supplement 687,Medication 148,moderate,Unknown,A,Auto-generated interaction
Supplement 567,Medication 89,severe,Absorption reduction,A,Auto-generated interaction
Supplement 102,Medication 61,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 498,Medication 103,severe,Unknown,C,Auto-generated interaction
Supplement 15,Medication 106,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 153,Medication 131,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 598,Medication 6,moderate,Additive effect,B,Auto-generated interaction
Supplement 47,Medication 73,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 195,Medication 8,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 336,Medication 143,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 470,Medication 79,low,Additive effect,B,Auto-generated interaction
Supplement 771,Medication 39,severe,Absorption reduction,A,Auto-generated interaction
Supplement 82,Medication 14,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 1000,Medication 87,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 83,Medication 65,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 433,Medication 102,high,Absorption reduction,A,Auto-generated interaction
Supplement 105,Medication 123,high,Absorption reduction,B,Auto-generated interaction
Supplement 928,Medication 16,low,Additive effect,B,Auto-generated interaction
Supplement 819,Medication 67,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 97,Medication 61,low,Absorption reduction,A,Auto-generated interaction
Supplement 39,Medication 111,low,Absorption reduction,B,Auto-generated interaction
Supplement 604,Medication 5,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 827,Medication 123,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 514,Medication 36,severe,Unknown,B,Auto-generated interaction
Supplement 32,Medication 95,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 19,Medication 69,low,Unknown,B,Auto-generated interaction
Supplement 375,Medication 123,severe,Additive effect,B,Auto-generated interaction
Supplement 212,Medication 83,low,Additive effect,B,Auto-generated interaction
Supplement 529,Medication 87,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 195,Medication 23,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 464,Medication 70,severe,Additive effect,A,Auto-generated interaction
Supplement 259,Medication 51,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 336,Medication 74,high,Additive effect,B,Auto-generated interaction
Supplement 514,Medication 109,low,Absorption reduction,A,Auto-generated interaction
Supplement 20,Medication 12,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 314,Medication 84,high,Additive effect,C,Auto-generated interaction
Supplement 337,Medication 58,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 487,Medication 23,moderate,Additive effect,A,Auto-generated interaction
Supplement 840,Medication 18,severe,Absorption reduction,C,Auto-generated interaction
Supplement 682,Medication 91,low,Additive effect,A,Auto-generated interaction
Supplement 176,Medication 7,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 87,Medication 76,low,Unknown,B,Auto-generated interaction
Supplement 700,Medication 12,moderate,Additive effect,C,Auto-generated interaction
Supplement 929,Medication 25,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 959,Medication 48,moderate,Unknown,C,Auto-generated interaction
Supplement 777,Medication 136,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 571,Medication 116,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 998,Medication 5,severe,Absorption reduction,C,Auto-generated interaction
Supplement 47,Medication 82,moderate,Unknown,C,Auto-generated interaction
Supplement 310,Medication 50,high,Additive effect,B,Auto-generated interaction
Supplement 838,Medication 66,low,Unknown,B,Auto-generated interaction
Supplement 290,Medication 138,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 637,Medication 66,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 278,Medication 62,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 539,Medication 104,low,Additive effect,A,Auto-generated interaction
Supplement 623,Medication 35,severe,Unknown,A,Auto-generated interaction
Supplement 619,Medication 149,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 485,Medication 72,high,Unknown,C,Auto-generated interaction
Supplement 515,Medication 39,moderate,Unknown,C,Auto-generated interaction
Supplement 666,Medication 114,severe,Absorption reduction,C,Auto-generated interaction
Supplement 514,Medication 48,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 856,Medication 41,severe,Absorption reduction,B,Auto-generated interaction
Supplement 976,Medication 63,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 520,Medication 79,high,Additive effect,B,Auto-generated interaction
Supplement 467,Medication 1,low,Additive effect,B,Auto-generated interaction
Supplement 521,Medication 103,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 633,Medication 116,low,Additive effect,A,Auto-generated interaction
Supplement 154,Medication 72,high,Additive effect,C,Auto-generated interaction
Supplement 461,Medication 34,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 439,Medication 29,low,Additive effect,A,Auto-generated interaction
Supplement 471,Medication 76,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 445,Medication 18,high,Unknown,C,Auto-generated interaction
Supplement 771,Medication 22,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 96,Medication 72,low,Additive effect,C,Auto-generated interaction
Supplement 386,Medication 138,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 663,Medication 21,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 193,Medication 80,low,Unknown,A,Auto-generated interaction
Supplement 821,Medication 108,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 101,Medication 147,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 196,Medication 57,high,Additive effect,C,Auto-generated interaction
Supplement 460,Medication 96,high,Additive effect,C,Auto-generated interaction
Supplement 322,Medication 20,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 805,Medication 16,moderate,Additive effect,B,Auto-generated interaction
Supplement 710,Medication 23,severe,Absorption reduction,A,Auto-generated interaction
Supplement 157,Medication 70,high,Additive effect,C,Auto-generated interaction
Supplement 15,Medication 133,low,Additive effect,C,Auto-generated interaction
Supplement 564,Medication 78,moderate,Unknown,B,Auto-generated interaction
Supplement 156,Medication 35,moderate,Additive effect,B,Auto-generated interaction
Supplement 590,Medication 79,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 724,Medication 36,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 596,Medication 67,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 174,Medication 148,high,Additive effect,C,Auto-generated interaction
Supplement 38,Medication 54,low,Absorption reduction,B,Auto-generated interaction
Supplement 538,Medication 125,high,Additive effect,C,Auto-generated interaction
Supplement 796,Medication 72,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 605,Medication 66,high,Additive effect,C,Auto-generated interaction
Supplement 343,Medication 87,high,Additive effect,C,Auto-generated interaction
Supplement 614,Medication 86,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 263,Medication 84,high,Additive effect,B,Auto-generated interaction
Supplement 874,Medication 76,high,Additive effect,C,Auto-generated interaction
Supplement 39,Medication 28,moderate,Additive effect,B,Auto-generated interaction
Supplement 693,Medication 79,moderate,Unknown,B,Auto-generated interaction
Supplement 872,Medication 140,low,Unknown,B,Auto-generated interaction
Supplement 406,Medication 13,high,Absorption reduction,B,Auto-generated interaction
Supplement 625,Medication 93,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 749,Medication 114,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 339,Medication 31,low,Additive effect,A,Auto-generated interaction
Supplement 138,Medication 61,severe,Additive effect,C,Auto-generated interaction
Supplement 305,Medication 84,low,Additive effect,B,Auto-generated interaction
Supplement 2,Medication 74,severe,Absorption reduction,B,Auto-generated interaction
Supplement 387,Medication 51,severe,Absorption reduction,A,Auto-generated interaction
Supplement 218,Medication 59,moderate,Additive effect,A,Auto-generated interaction
Supplement 408,Medication 135,high,Absorption reduction,A,Auto-generated interaction
Supplement 252,Medication 45,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 386,Medication 7,high,Unknown,B,Auto-generated interaction
Supplement 892,Medication 115,severe,Additive effect,A,Auto-generated interaction
Supplement 53,Medication 141,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 247,Medication 124,severe,Unknown,A,Auto-generated interaction
Supplement 165,Medication 15,moderate,Unknown,B,Auto-generated interaction
Supplement 679,Medication 104,moderate,Additive effect,C,Auto-generated interaction
Supplement 775,Medication 140,moderate,Unknown,B,Auto-generated interaction
Supplement 784,Medication 97,high,Absorption reduction,A,Auto-generated interaction
Supplement 942,Medication 54,moderate,Unknown,C,Auto-generated interaction
Supplement 114,Medication 63,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 746,Medication 59,low,Unknown,C,Auto-generated interaction
Supplement 765,Medication 99,severe,Additive effect,C,Auto-generated interaction
Supplement 710,Medication 84,low,Unknown,C,Auto-generated interaction
Supplement 314,Medication 112,severe,Unknown,B,Auto-generated interaction
Supplement 867,Medication 109,moderate,Additive effect,A,Auto-generated interaction
Supplement 729,Medication 12,low,Additive effect,A,Auto-generated interaction
Supplement 82,Medication 118,severe,Additive effect,C,Auto-generated interaction
Supplement 796,Medication 105,high,Additive effect,B,Auto-generated interaction
Supplement 578,Medication 38,high,Absorption reduction,A,Auto-generated interaction
Supplement 938,Medication 29,high,Additive effect,B,Auto-generated interaction
Supplement 846,Medication 138,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 734,Medication 50,high,Unknown,B,Auto-generated interaction
Supplement 691,Medication 148,moderate,Additive effect,B,Auto-generated interaction
Supplement 148,Medication 120,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 449,Medication 98,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 707,Medication 99,severe,Additive effect,B,Auto-generated interaction
Supplement 975,Medication 63,severe,Absorption reduction,B,Auto-generated interaction
Supplement 486,Medication 92,severe,Unknown,C,Auto-generated interaction
Supplement 343,Medication 13,moderate,Unknown,A,Auto-generated interaction
Supplement 67,Medication 7,severe,Absorption reduction,C,Auto-generated interaction
Supplement 706,Medication 70,severe,Unknown,C,Auto-generated interaction
Supplement 407,Medication 136,low,Additive effect,B,Auto-generated interaction
Supplement 850,Medication 102,low,Absorption reduction,C,Auto-generated interaction
Supplement 584,Medication 67,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 245,Medication 106,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 559,Medication 119,moderate,Additive effect,C,Auto-generated interaction
Supplement 276,Medication 16,severe,Additive effect,A,Auto-generated interaction
Supplement 571,Medication 150,severe,Unknown,C,Auto-generated interaction
Supplement 831,Medication 146,low,Unknown,A,Auto-generated interaction
Supplement 817,Medication 105,moderate,Unknown,B,Auto-generated interaction
Supplement 170,Medication 146,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 47,Medication 12,moderate,Unknown,C,Auto-generated interaction
Supplement 229,Medication 127,high,Unknown,C,Auto-generated interaction
Supplement 926,Medication 66,high,Additive effect,C,Auto-generated interaction
Supplement 262,Medication 125,high,Absorption reduction,B,Auto-generated interaction
Supplement 567,Medication 62,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 923,Medication 23,high,Unknown,A,Auto-generated interaction
Supplement 281,Medication 96,high,Unknown,A,Auto-generated interaction
Supplement 604,Medication 108,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 306,Medication 121,high,Absorption reduction,B,Auto-generated interaction
Supplement 890,Medication 33,low,Absorption reduction,B,Auto-generated interaction
Supplement 455,Medication 27,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 773,Medication 116,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 948,Medication 98,severe,Unknown,C,Auto-generated interaction
Supplement 814,Medication 86,low,Unknown,C,Auto-generated interaction
Supplement 568,Medication 57,high,Additive effect,B,Auto-generated interaction
Supplement 886,Medication 108,severe,Unknown,B,Auto-generated interaction
Supplement 693,Medication 47,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 717,Medication 50,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 92,Medication 77,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 20,Medication 136,high,Additive effect,A,Auto-generated interaction
Supplement 885,Medication 86,low,Unknown,A,Auto-generated interaction
Supplement 895,Medication 124,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 131,Medication 78,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 644,Medication 123,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 28,Medication 116,severe,Absorption reduction,A,Auto-generated interaction
Supplement 903,Medication 40,high,Absorption reduction,A,Auto-generated interaction
Supplement 490,Medication 68,moderate,Additive effect,B,Auto-generated interaction
Supplement 289,Medication 79,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 929,Medication 33,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 901,Medication 11,severe,Unknown,C,Auto-generated interaction
Supplement 655,Medication 130,high,Additive effect,C,Auto-generated interaction
Supplement 382,Medication 131,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 560,Medication 82,high,Additive effect,C,Auto-generated interaction
Supplement 663,Medication 97,moderate,Unknown,A,Auto-generated interaction
Supplement 673,Medication 132,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 408,Medication 125,moderate,Additive effect,C,Auto-generated interaction
Supplement 58,Medication 117,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 875,Medication 104,severe,Additive effect,A,Auto-generated interaction
Supplement 350,Medication 25,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 971,Medication 13,severe,Absorption reduction,C,Auto-generated interaction
Supplement 3,Medication 10,low,Unknown,A,Auto-generated interaction
Supplement 971,Medication 93,low,Additive effect,A,Auto-generated interaction
Supplement 520,Medication 125,severe,Additive effect,B,Auto-generated interaction
Supplement 260,Medication 23,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 613,Medication 84,moderate,Additive effect,C,Auto-generated interaction
Supplement 490,Medication 101,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 235,Medication 84,high,Unknown,C,Auto-generated interaction
Supplement 892,Medication 72,high,Additive effect,B,Auto-generated interaction
Supplement 600,Medication 74,severe,Additive effect,A,Auto-generated interaction
Supplement 10,Medication 59,high,Unknown,C,Auto-generated interaction
Supplement 712,Medication 54,low,Unknown,A,Auto-generated interaction
Supplement 558,Medication 51,moderate,Additive effect,A,Auto-generated interaction
Supplement 130,Medication 150,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 772,Medication 121,high,Unknown,B,Auto-generated interaction
Supplement 950,Medication 97,high,Absorption reduction,A,Auto-generated interaction
Supplement 815,Medication 61,high,Unknown,A,Auto-generated interaction
Supplement 845,Medication 40,high,Absorption reduction,A,Auto-generated interaction
Supplement 110,Medication 111,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 138,Medication 77,moderate,Unknown,C,Auto-generated interaction
Supplement 995,Medication 27,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 74,Medication 52,low,Absorption reduction,C,Auto-generated interaction
Supplement 642,Medication 123,high,Unknown,A,Auto-generated interaction
Supplement 787,Medication 40,severe,Absorption reduction,A,Auto-generated interaction
Supplement 352,Medication 9,severe,Additive effect,A,Auto-generated interaction
Supplement 122,Medication 45,severe,Absorption reduction,A,Auto-generated interaction
Supplement 103,Medication 108,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 461,Medication 1,severe,Additive effect,B,Auto-generated interaction
Supplement 299,Medication 68,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 793,Medication 83,severe,Absorption reduction,A,Auto-generated interaction
Supplement 593,Medication 101,severe,Unknown,C,Auto-generated interaction
Supplement 872,Medication 10,low,Additive effect,C,Auto-generated interaction
Supplement 13,Medication 108,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 743,Medication 81,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 211,Medication 76,low,Absorption reduction,A,Auto-generated interaction
Supplement 747,Medication 32,moderate,Additive effect,C,Auto-generated interaction
Supplement 348,Medication 76,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 405,Medication 35,low,Absorption reduction,A,Auto-generated interaction
Supplement 226,Medication 54,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 475,Medication 77,high,Absorption reduction,C,Auto-generated interaction
Supplement 840,Medication 101,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 840,Medication 141,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 330,Medication 83,severe,Additive effect,B,Auto-generated interaction
Supplement 233,Medication 96,moderate,Unknown,A,Auto-generated interaction
Supplement 129,Medication 24,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 504,Medication 53,high,Absorption reduction,C,Auto-generated interaction
Supplement 204,Medication 120,moderate,Additive effect,A,Auto-generated interaction
Supplement 768,Medication 99,low,Absorption reduction,C,Auto-generated interaction
Supplement 81,Medication 150,low,Absorption reduction,B,Auto-generated interaction
Supplement 256,Medication 131,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 852,Medication 3,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 344,Medication 92,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 198,Medication 11,high,Absorption reduction,A,Auto-generated interaction
Supplement 778,Medication 77,high,Absorption reduction,C,Auto-generated interaction
Supplement 840,Medication 39,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 795,Medication 47,high,Absorption reduction,A,Auto-generated interaction
Supplement 165,Medication 144,high,Additive effect,C,Auto-generated interaction
Supplement 366,Medication 94,low,Unknown,B,Auto-generated interaction
Supplement 161,Medication 30,high,Unknown,C,Auto-generated interaction
Supplement 960,Medication 59,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 35,Medication 118,low,Unknown,B,Auto-generated interaction
Supplement 380,Medication 33,moderate,Unknown,C,Auto-generated interaction
Supplement 532,Medication 123,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 932,Medication 133,severe,Absorption reduction,C,Auto-generated interaction
Supplement 144,Medication 149,high,Unknown,A,Auto-generated interaction
Supplement 571,Medication 52,moderate,Additive effect,C,Auto-generated interaction
